n,d,k,rang,z,sigma,runk,runphi,Run 1 cost,Run 2 cost,Run 3 cost,Run 4 cost,Run 5 cost,Run 6 cost,Run 7 cost,Run 8 cost,Run 9 cost,Run 10 cost,Average,optimal cost,av prec,max prec,av recall,max recall,prec sd,recall sd
10035,15,10,50,25,1,10,0.5,92863.8187356448,91571.82362326501,155573.20901988648,169935.73169842493,202789.45054889392,53154.86400618796,84509.79501689998,53765.85415344144,106227.41255161668,135146.88867820028,114553.88480324612,37914.08534992307,0.9386666666666669,1.0,0.9386666666666669,1.0,0.09655395728123557,0.09655395728123557
10035,15,10,50,25,1,11,0.5,52238.125410667366,78104.12830255562,53986.17515927196,130033.60244398662,159925.70747815786,52073.0448134999,156555.92590911986,85629.63117945826,52532.04753295742,53554.780121245996,87463.31683509208,37914.08534992307,0.9573333333333334,1.0,0.9573333333333334,1.0,0.08258060035841078,0.08258060035841078
10035,15,10,50,25,1,12,0.5,87931.85257537857,91360.79794926975,83304.05310801466,52141.940480199526,88348.65808121972,52245.32095130559,52085.95163670755,52940.83115975061,53793.05329684834,53396.90485541805,66754.93640941122,37914.08534992307,0.9933333333333334,1.0,0.9933333333333334,1.0,0.006666666666666655,0.006666666666666655
10035,15,10,50,25,1,13,0.5,91445.99545581471,52852.29209859151,53458.89514701996,52454.814960070325,53179.06888320212,53494.21145898029,52371.12609828999,53006.40118317049,51741.010787399566,51903.99833811246,56590.78144106513,37914.08534992307,0.9906666666666666,0.9960000000000001,0.9906666666666666,0.9960000000000001,0.015832456116050567,0.015832456116050567
10035,15,10,50,25,1,14,0.5,53985.53465877479,53842.94026139288,51833.90326188443,52333.2122759014,51576.80199995992,52324.39940234043,92680.01580118058,52208.33305644538,53037.25384374403,52037.52751389135,56585.99220755151,37914.08534992307,0.9826666666666666,0.992,0.9826666666666666,0.992,0.01339983416149454,0.01339983416149454
10035,15,10,50,25,1,10,1,96390.25672098268,220971.5331486334,94217.31384073258,96647.38071168125,132238.7977054167,135854.6939530281,243970.1802060254,102928.60321554811,150249.75446748908,170344.50197025583,144381.3015939793,37914.08534992307,0.8200000000000001,1.0,0.8200000000000001,1.0,0.1681533691472031,0.1681533691472031
10035,15,10,50,25,1,11,1,126071.11438613955,52030.11628658408,118867.98110154869,95687.98074326804,91297.87402073991,96200.2804632202,83762.4100305061,93253.82209849895,53698.18457525761,53790.67557779866,86466.04392835617,37914.08534992307,0.9306666666666666,1.0,0.9306666666666666,1.0,0.10779404230084125,0.10779404230084125
10035,15,10,50,25,1,12,1,53698.857713094745,50802.128653129526,54100.55105857778,52265.960498854176,88244.26315722393,53517.493070184544,52291.19752391917,53085.54976212859,52055.287957685265,54014.29343281913,56407.55828276168,37914.08534992307,0.9959999999999999,1.0,0.9959999999999999,1.0,0.006110100926607775,0.006110100926607775
10035,15,10,50,25,1,13,1,53043.90127689374,77640.43436536161,53470.448230992966,51866.45588330867,51337.82317879961,52257.42251146312,53377.32564134634,52107.29087583418,52725.161870439515,52480.48349203202,55030.674732647174,37914.08534992307,0.9906666666666666,1.0,0.9906666666666666,1.0,0.008537498983243803,0.008537498983243803
10035,15,10,50,25,1,14,1,52258.50395866924,51700.39196354931,85094.22804139556,52311.32207717266,51350.605180328515,52810.714155574475,51861.07441200232,53218.33057017025,52069.50568186565,51433.2206583279,55410.78966990559,37914.08534992307,0.9946666666666666,1.0,0.9946666666666666,1.0,0.012220201853215582,0.012220201853215582
10035,15,10,50,25,1,10,2,53106.20036471592,117925.93363846531,132958.9650987591,136461.41110631285,52731.10677739658,115846.30513366952,84337.3865679866,166598.9916692497,120777.21726228269,135978.2809863117,111672.17986051498,37914.08534992307,0.9133333333333334,1.0,0.9133333333333334,1.0,0.14730165571974327,0.14730165571974327
10035,15,10,50,25,1,11,2,86278.20440629192,91095.96758885006,53651.4705114435,89634.66629028332,122564.07967518095,54116.78943572761,82107.86702502567,104271.47754188767,92982.04650268401,52944.42663449358,82964.69956118683,37914.08534992307,0.9893333333333334,1.0,0.9893333333333334,1.0,0.027840817357094812,0.027840817357094812
10035,15,10,50,25,1,12,2,52677.85514869149,52084.69866124847,87679.34337054275,90815.99632392992,54463.381111080955,52526.4461955243,53112.252980033336,52266.095627040755,51661.90893777064,89563.32880257281,63685.130715843545,37914.08534992307,0.9906666666666666,1.0,0.9906666666666666,1.0,0.015832456116050556,0.015832456116050556
10035,15,10,50,25,1,13,2,53326.07284697922,91881.85535807279,52704.95135424409,51782.22114236876,52396.43386957804,53536.68643167415,52199.34105287218,52638.263811386576,51844.05627537187,131661.9836217508,64397.186576429856,37914.08534992307,0.984,1.0,0.984,1.0,0.009977753031397196,0.009977753031397196
10035,15,10,50,25,1,14,2,51093.1104480272,51351.963148919305,50295.44498609003,52127.71142992511,51560.42137683591,52721.15251833932,51270.8528939586,54246.21467402613,51905.12394980972,53289.31383573345,51986.13092616647,37914.08534992307,0.9946666666666666,1.0,0.9946666666666666,1.0,0.008844332774281077,0.008844332774281077
