n,d,k,rang,z,sigma,Run 1 cost,Run 2 cost,Run 3 cost,Run 4 cost,Run 5 cost,Run 6 cost,Run 7 cost,Run 8 cost,Run 9 cost,Run 10 cost,Average,example1,example2,example3
9995,2,10,50,25,1,25,25,622.6,24.6,25,25,25,24,25,24.4,84.56,0.0,5.5,38.5
9995,15,10,50,25,1,25,25,224.2,25,224.2,224.2,25,224.2,224.2,25,124.6,0.0,15.5,248.5
10000,2,10,50,50,1,49.2,49.8,248.4,300,248.4,248.2,50,248,50,248.6,174.06,0.0,25.5,658.5
10000,15,10,50,50,1,248.8,646.4,447.6,50,248.8,447.6,248.8,248.8,50,447.6,308.44,0.0,35.5,1268.5
10000,2,10,50,100,1,99,297.8,100,494,493.4,97.6,495.2,297.8,692,1087.2,415.4,0.0,45.5,2078.5
10000,15,10,50,100,1,100,100,495.6,495.6,297.8,297.8,297.8,100,495.6,297.8,297.8,0.0,55.5,3088.5
9985,2,20,50,25,1,25,124.4,124.2,24.2,121.6,22.6,24.2,122.2,124.2,222.8,93.54,0.0,65.5,4298.5
9985,15,20,50,25,1,124.4,25,223.8,25,25,124.4,124.4,124.4,25,25,84.64,0.0,75.5,5708.5
9990,2,20,50,50,1,48.8,147,126.2,147.6,48.4,248.4,147.4,345.6,147.8,248,165.52,0.0,85.5,7318.5
9990,15,20,50,50,1,50,546,347.6,347.6,149.2,149.2,149.2,50,50,50,188.88,0.0,95.5,9128.5
10000,2,20,50,100,1,304.8,315.6,392.2,394.6,589,581.2,393.6,395.2,97,377.8,384.1,0.0,105.5,11138.5
10000,15,20,50,100,1,100,495.2,594,396.4,297.6,297.6,396.4,297.6,297.6,198.8,337.12,0.0,115.5,13348.5
9995,2,10,50,25,5,19,17.6,18.8,92.4,18.4,42.2,43.6,18.6,16.2,16.2,30.3,0.0,125.5,15758.5
9995,15,10,50,25,5,25,224.2,25,25,423.4,423.4,224.2,25,25,25,144.51999999999998,0.0,135.5,18368.5
10000,2,10,50,50,5,41,557.2,39.8,107.6,38.6,128.4,34.6,37.2,36.8,157.2,117.84,0.0,145.5,21178.5
10000,15,10,50,50,5,50,248.8,248.8,248.8,248.8,248.8,248.8,50,248.8,50,189.16,0.0,155.5,24188.5
10000,2,10,50,100,5,99,165.4,229.6,195.4,74.8,262.6,73,68.8,140.4,154.8,146.38,0.0,165.5,27398.5
10000,15,10,50,100,5,297.8,495.6,495.6,297.8,495.6,693.4,495.6,495.6,495.6,297.8,456.04,0.0,175.5,30808.5
9985,2,20,50,25,5,11.4,39.6,10.8,9,12,24,14.4,16,11.8,14.8,16.38,0.0,185.5,34418.5
9985,15,20,50,25,5,323.2,223.8,124.4,25,25,124.4,124.4,124.4,124.4,223.8,144.28,0.0,195.5,38228.5
9990,2,20,50,50,5,125.4,21,24.6,23.6,66.4,29.6,23.2,27,29.2,25,39.5,0.0,205.5,42238.5
9990,15,20,50,50,5,347.6,50,50,248.4,149.2,248.4,248.4,149.2,248.4,50,178.96,0.0,215.5,46448.5
10000,2,20,50,100,5,48.4,228.4,106.4,86.4,60.8,51.6,55.6,63.6,107,77.4,88.56,0.0,225.5,50858.5
10000,15,20,50,100,5,396.4,692.8,495.2,396.4,198.8,396.4,297.6,890.4,396.4,594,475.44,0.0,235.5,55468.5
9995,2,10,50,25,10,3.2,6.6,4.4,3,5.2,6.8,17,3.6,3.4,11.4,6.46,0.0,245.5,60278.5
9995,15,10,50,25,10,224.2,25,25,25,25,25,224.2,25,622.6,25,124.6,0.0,255.5,65288.5
10000,2,10,50,50,10,15.4,17.6,7.8,10.8,13,34,11,11.4,9,13.6,14.36,0.0,265.5,70498.5
10000,15,10,50,50,10,248.8,50,447.6,50,248.8,50,248.8,248.8,50,248.8,189.16,0.0,275.5,75908.5
10000,2,10,50,100,10,20,25.8,38.8,18.6,117,23.2,22.4,44.8,102.8,24.2,43.76,0.0,285.5,81518.5
10000,15,10,50,100,10,495.6,100,297.8,495.6,297.8,100,495.6,297.8,297.8,495.6,337.36,0.0,295.5,87328.5
9985,2,20,50,25,10,0,0,0,0,0,0,0,0,0,0,0,0.0,305.5,93338.5
9985,15,20,50,25,10,124.4,124.4,124.4,25,25,124.4,323.2,124.4,25,25,104.52,0.0,315.5,99548.5
9990,2,20,50,50,10,0,0,0.4,0,0.2,0,0,0,0,0,0.060000000000000005,0.0,325.5,105958.5
9990,15,20,50,50,10,347.6,149.2,149.2,149.2,248.4,149.2,149.2,446.8,347.6,50,218.64,0.0,335.5,112568.5
10000,2,20,50,100,10,0,0.4,0,1,0,0.6,0,0,0,0.2,0.22,0.0,345.5,119378.5
10000,15,20,50,100,10,594,198.8,495.2,692.8,396.4,198.8,198.8,396.4,692.8,495.2,435.91999999999996,0.0,355.5,126388.5
